Symbol	28iALS_1	28iALS_2	29iALS_1	29iALS_2	30iALS_1	52iALS_1	52iALS_2	00iCTR_1	00iCTR_2	25iCTR_1_A	25iCTR_1_B	25iCTR_2	83iCTR_1	83iCTR_2
ATM	39.86	0.0	0.0	40.63	72.37	58.76	68.71	114.45	92.6	140.32	110.07	159.4	104.63	94.56
MTA1	854.63	992.12	990.82	861.97	850.24	685.08	404.34	1088.12	702.22	1380.18	1494.92	1303.61	1281.21	1110.89
PTPRS	230.15	466.31	368.38	354.42	495.77	301.15	34.11	515.03	452.95	658.17	757.6	795.82	578.31	607.83
EIF3I	980.04	1499.53	4900.63	4430.54	5043.29	4082.58	1533.71	3553.9	3043.46	6027.44	6237.39	7947.24	3064.06	3218.4
PPP2R5C	80.61	59.94	58.83	0.0	71.32	53.46	51.37	37.01	0.0	40.74	40.11	21.09	65.21	128.83
CTBP1	3310.7	4361.9	4085.83	3807.73	4498.28	2929.24	1295.81	5028.44	4227.51	5845.27	5894.99	6176.11	3979.58	4303.87
UBE2V1	1098.36	1420.76	3722.15	3570.37	5586.94	3511.79	2106.98	3227.02	2966.43	9621.89	9838.98	13403.8	6389.41	5257.82
MRPL49	229.97	262.67	427.76	882.39	617.21	218.07	120.59	607.88	509.76	801.55	870.09	945.97	382.18	360.66
DYNC1I2	3611.31	4782.02	5027.96	4762.11	8378.3	4294.03	2221.65	6260.76	5767.02	11594.3	12147.2	9318.2	7046.43	6098.73
ILK	165.27	249.46	1928.99	1550.22	1428.64	1539.67	637.58	452.09	324.17	1073.98	1155.21	1943.56	812.33	800.2
NNT	9084.95	11465.4	29429.6	27997.4	21890.2	15672.4	12351.3	18232.7	14612.3	19051.0	18888.2	15409.2	8110.14	8131.89
PPIG	0.0	0.0	330.03	129.21	431.99	125.36	96.56	162.18	387.48	495.2	494.27	575.74	382.11	376.47
TCOF1	1476.77	2638.62	1108.44	2314.08	1140.92	278.55	331.91	2893.13	2610.26	1911.66	1668.25	965.22	599.68	657.26
UNC119	0.0	0.0	0.0	0.0	62.39	0.0	0.0	0.0	64.27	102.31	113.98	116.12	117.69	124.08
SF3B2	1220.28	3710.95	7349.28	7081.01	7092.81	4422.6	2544.8	6367.98	5543.54	12213.8	12765.8	12308.5	8058.0	7394.19
PDAP1	66.98	636.94	1181.12	1908.3	2687.08	2056.48	1202.21	1243.48	1169.98	6849.87	6773.46	5139.61	3720.26	3136.23
ADAM9	0.0	54.38	0.0	0.0	65.4	0.0	0.0	0.0	0.0	201.63	169.33	159.46	110.82	93.21
TMED1	227.95	373.32	1617.35	1375.5	622.82	1291.32	499.82	475.79	405.44	1012.38	1037.8	1488.1	470.07	272.59
LSAMP	129.68	513.67	269.15	433.67	273.72	0.0	110.52	1494.93	722.52	1108.14	1053.48	1029.19	649.89	522.3
FKBP5	207.98	865.46	1059.81	802.7	591.3	493.37	202.33	1619.82	1015.06	1895.08	1616.02	2277.02	1072.85	1205.11
TUSC3	0.0	0.0	136.05	142.83	128.87	0.0	0.0	127.59	159.18	75.06	101.96	115.42	95.57	70.8
MYO9B	0.0	0.0	0.0	79.1	0.0	0.0	0.0	0.0	77.98	80.91	35.6	94.03	41.66	48.77
ROCK1	0.0	0.0	128.84	0.0	113.17	0.0	0.0	0.0	0.0	0.0	34.7	123.61	0.0	121.69
GAB1	0.0	0.0	0.0	0.0	181.68	0.0	0.0	0.0	152.42	559.04	568.62	761.51	378.35	351.99
SMAD4	111.7	611.88	739.92	797.97	1402.08	1052.21	654.66	906.46	683.74	1981.11	2321.57	2326.04	1790.19	1002.66
GPM6B	353.53	245.29	0.0	24.85	210.44	90.88	164.79	0.0	40.0	251.17	215.0	605.51	555.93	1568.59
PICALM	522.88	357.42	1641.91	1578.87	1427.88	1206.73	652.58	780.81	300.46	1149.77	1208.91	665.75	495.71	448.01
MTX1	147.11	201.79	1058.33	1203.48	876.08	245.46	326.64	255.04	756.27	789.08	874.95	830.15	423.68	356.9
TUBB3	104598.0	50200.5	20573.0	19774.7	30005.4	10350.4	9285.6	41916.5	35785.2	39378.8	38131.0	54355.4	49207.4	103720.0
ASAH1	4230.04	7044.93	22329.8	18600.2	35680.8	10869.9	6289.55	5579.54	3751.31	37863.7	35924.0	46071.8	19253.8	21235.4
PRPF4B	0.0	108.25	845.14	654.33	469.65	417.58	188.69	886.91	659.83	1426.43	1304.56	1295.44	950.56	953.43
PIN1	1527.41	3150.24	2272.85	2228.24	3959.52	1830.09	335.62	4454.08	3676.59	4277.4	4761.31	6063.35	5361.23	5773.86
RIPK1	0.0	0.0	227.94	238.82	244.15	215.19	144.57	269.81	141.64	243.8	259.94	479.58	229.27	315.35
HDAC1	228.07	182.17	243.73	74.63	181.13	100.36	49.91	472.52	333.85	441.85	463.13	489.72	373.22	342.5
CAMK2G	181.98	210.75	147.89	103.7	302.81	133.27	0.0	304.7	157.27	487.86	441.94	944.64	586.96	268.6
CAMK2D	698.95	931.64	2329.32	2504.13	5811.19	1964.01	966.34	1957.66	1844.63	3267.29	3382.22	4686.6	4429.82	3743.07
DCTN2	2011.47	2717.53	4286.01	4694.71	5436.89	2884.66	954.58	3850.82	3112.78	8702.21	8565.0	10767.1	8664.17	7314.0
NAE1	513.5	725.16	1837.04	1740.47	2300.88	1534.64	686.7	1714.93	1337.9	2522.62	2712.44	2300.93	1725.43	2159.07
TDG	0.0	1181.8	3121.05	2645.67	3378.49	1883.96	0.0	2119.68	1754.02	1204.99	1298.17	427.29	476.18	547.96
SNW1	557.99	2049.94	991.52	1926.56	2093.75	1462.17	696.71	2014.98	1573.94	1004.88	1011.85	2777.72	1310.35	1219.46
IQGAP2	272.75	1168.99	2198.89	2939.37	5257.35	5118.16	2717.44	3199.73	2994.2	6765.88	6363.36	8468.06	3946.43	3856.2
STIM1	0.0	47.65	217.09	314.16	522.93	100.45	0.0	0.0	429.26	788.84	914.12	784.48	296.24	280.2
TRA2A	2553.63	3095.6	3299.86	3218.01	2962.96	2255.76	1793.7	3719.62	2745.35	3124.72	3148.1	1555.77	1223.08	1594.12
SNX1	745.23	876.21	602.48	930.45	1409.95	976.01	775.38	962.44	814.79	1493.61	1431.32	2009.48	911.01	943.16
KRR1	0.0	129.09	225.05	259.56	188.06	152.99	0.0	236.33	172.25	198.44	179.1	159.44	147.48	107.7
MTMR1	184.19	202.93	175.45	141.38	165.1	126.52	0.0	224.31	137.87	276.94	280.45	304.33	268.52	155.47
CUL1	158.93	197.29	386.83	326.72	443.26	359.01	108.53	425.67	340.03	628.36	671.45	481.12	411.37	416.85
CUL2	482.03	846.39	998.97	758.07	888.73	790.3	659.75	803.08	586.26	936.2	923.06	1557.37	1065.04	1218.41
CUL3	322.63	220.8	497.13	467.99	447.26	475.13	206.34	496.12	452.1	723.27	672.09	969.2	748.66	739.79
CUL4A	0.0	0.0	0.0	49.25	0.0	74.11	0.0	0.0	0.0	83.53	0.0	108.29	84.8	74.33
CUL4B	347.74	439.55	364.22	361.82	385.13	342.73	225.96	435.37	437.14	328.13	304.59	334.68	223.23	260.46
TSTA3	450.49	734.62	705.7	794.05	1450.21	1206.88	914.75	485.89	574.8	1093.19	1136.22	1106.17	484.58	595.84
RAB31	50.14	249.81	228.17	371.45	349.98	290.63	100.77	126.29	162.16	433.78	438.5	815.51	377.51	394.23
